ipa,cons,syl,son,lab,cor,ant,dist,hi,lo,bk,ATR,nas,DR,stri,lat,cont,voi,CG,SG
p,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
b,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
ɸ,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-
β,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-
m,+,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-
f,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-
v,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-
t,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-
d,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-
θ,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-
ð,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,+,-,-
s,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-
z,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,+,+,-,-
n,+,-,+,-,+,+,-,-,-,-,-,+,-,-,-,-,+,-,-
l,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,+,+,-,-
r,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,+,+,-,-
ʃ,+,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,-,-
ʒ,+,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,+,-,-
t͡ʃ,+,-,-,-,+,-,+,+,-,-,-,-,+,+,-,-,-,-,-
d͡ʒ,+,-,-,-,+,-,+,+,-,-,-,-,+,+,-,-,+,-,-
k,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-
ɡ,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-
x,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-
ɣ,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-
ŋ,+,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,+,-,-
q,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-
ɢ,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-
χ,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-,-
ʁ,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-,-
ɴ,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-
j,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,+,+,-,-
w,-,-,+,+,-,-,-,+,-,+,+,-,-,-,-,+,+,-,-
h,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+
ʔ,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-
ħ,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-
ʕ,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-
c,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-
ɟ,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-
ç,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-
ʝ,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-
ɲ,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,-
ʈ,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ɖ,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-
i,-,+,+,-,-,-,-,+,-,-,+,-,-,-,-,+,+,-,-
ɪ,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-
u,-,+,+,+,-,-,-,+,-,+,+,-,-,-,-,+,+,-,-
ʊ,-,+,+,+,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-
e,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-
ɛ,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-
o,-,+,+,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-
æ,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-
a,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-
ɑ,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-
ɒ,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-
ɔ,-,+,+,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-
y,-,+,+,+,-,-,-,+,-,-,+,-,-,-,-,+,+,-,-
ø,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-
ə,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-
ɨ,-,+,+,-,-,-,-,+,-,+,+,-,-,-,-,+,+,-,-
ɯ,-,+,+,-,-,-,-,+,-,+,+,-,-,-,-,+,+,-,-
